iter	Passed	Remaining
443	628	787
444	629	785
445	630	783
446	631	780
447	632	778
448	632	776
449	633	774
450	634	772
451	635	770
452	636	768
453	637	766
454	638	764
455	639	762
456	640	761
457	641	759
458	642	757
459	643	755
460	644	753
461	645	751
462	647	750
463	648	748
464	649	746
465	650	745
466	652	744
467	653	743
468	654	741
469	655	739
470	656	737
471	658	736
472	659	734
473	660	732
474	661	730
475	662	729
476	663	727
477	664	725
478	665	724
479	668	723
480	669	722
481	670	720
482	671	719
483	672	717
484	674	715
485	675	714
486	676	713
487	678	711
488	679	709
489	680	707
490	682	707
491	683	705
492	684	703
493	685	702
494	686	700
495	687	698
496	688	696
497	689	695
498	690	693
499	692	692
500	693	690
501	694	688
502	695	687
503	697	686
504	698	685
505	700	683
506	701	682
507	703	680
508	704	679
509	705	678
510	706	676
511	708	674
512	709	673
513	711	672
514	719	677
515	723	678
516	724	677
517	727	677
518	729	675
519	730	674
520	731	672
521	733	671
522	734	669
523	735	667
524	736	666
525	737	664
526	739	663
527	740	661
528	742	660
529	743	659
530	744	657
531	745	655
532	746	654
533	747	652
534	748	650
535	749	649
536	750	647
537	751	645
538	752	643
539	753	642
540	754	640
541	755	638
542	757	637
543	758	635
544	759	633
545	760	632
546	761	630
547	762	628
548	763	627
549	764	625
550	765	623
551	765	621
552	766	619
553	767	618
554	768	616
555	769	614
556	771	613
557	772	611
558	773	610
559	774	608
560	775	606
561	776	604
562	776	603
563	777	601
564	778	599
565	779	597
566	780	595
567	781	594
568	781	592
569	782	590
570	783	588
571	785	587
572	786	586
573	787	584
574	788	582
575	789	581
576	790	579
577	791	577
578	792	575
579	792	574
580	793	572
581	794	570
582	795	569
583	796	567
584	797	565
585	798	563
586	800	562
587	801	561
588	802	560
589	804	558
590	805	557
591	807	556
592	808	554
593	809	553
594	810	551
595	811	550
596	812	548
597	813	546
598	815	545
599	816	544
600	817	542
601	818	541
602	819	539
603	820	538
604	822	536
605	823	535
606	824	533
607	825	531
608	825	530
609	826	528
610	827	526
611	828	525
612	830	524
613	831	522
614	832	521
615	833	519
616	834	518
617	835	516
618	836	514
619	837	513
620	837	511
621	838	509
622	839	508
623	840	506
624	841	504
625	842	503
626	843	501
627	845	500
628	845	498
629	846	497
630	847	495
631	848	494
632	850	492
633	851	491
634	853	490
635	854	488
636	855	487
637	857	486
638	858	485
639	860	483
640	861	482
641	862	480
642	863	479
643	864	477
644	865	476
645	866	474
646	867	473
647	868	471
648	869	470
649	870	468
650	871	467
651	872	465
652	875	465
653	876	463
654	877	462
655	878	460
656	879	459
657	880	457
658	881	456
659	882	454
660	883	453
661	884	451
662	885	450
663	886	448
664	888	447
665	889	446
666	890	444
667	892	443
668	894	442
669	896	441
670	897	439
671	898	438
672	899	437
673	901	435
674	904	435
675	906	434
676	907	432
677	909	432
678	912	431
679	915	430
680	916	429
681	921	429
682	925	429
683	927	428
684	928	426
685	929	425
686	931	424
687	933	423
688	978	441
689	984	442
690	991	443
691	993	442
692	995	440
693	997	439
694	999	438
695	1001	437
696	1004	436
697	1006	435
698	1011	435
699	1015	435
700	1016	433
701	1018	432
702	1039	438
703	1053	442
704	1055	441
705	1062	442
706	1064	441
707	1065	439
708	1071	439
709	1075	439
710	1078	438
711	1081	437
712	1083	436
713	1100	440
714	1104	440
715	1106	438
716	1121	442
717	1122	440
718	1125	439
719	1127	438
720	1128	436
721	1134	436
722	1136	435
723	1137	433
724	1139	432
725	1141	430
726	1143	429
727	1145	427
728	1150	427
729	1155	427
730	1156	425
731	1158	424
732	1160	422
733	1180	427
734	1182	426
735	1183	424
736	1185	422
737	1186	421
738	1187	419
739	1189	417
740	1191	416
741	1192	414
742	1195	413
743	1196	411
744	1198	410
745	1199	408
746	1208	409
747	1212	408
748	1214	406
749	1216	405
750	1218	403
751	1220	402
752	1222	400
753	1223	399
754	1226	398
755	1228	396
756	1230	394
757	1231	393
758	1232	391
759	1233	389
760	1234	387
761	1235	385
762	1236	384
763	1237	382
764	1238	380
765	1241	379
766	1242	377
767	1243	375
768	1244	373
769	1245	372
770	1247	370
771	1248	368
772	1249	366
773	1250	365
774	1251	363
775	1252	361
776	1253	359
777	1253	357
778	1256	356
779	1257	354
780	1258	352
781	1258	350
782	1259	349
783	1260	347
784	1261	345
785	1262	343
786	1263	341
787	1264	340
788	1265	338
789	1266	336
790	1267	334
791	1267	333
792	1268	331
793	1271	329
794	1271	327
795	1272	326
796	1273	324
797	1274	322
798	1275	320
799	1276	319
800	1277	317
801	1277	315
802	1278	313
803	1279	311
804	1280	310
805	1281	308
806	1282	306
807	1283	304
808	1284	303
809	1285	301
810	1287	299
811	1288	298
812	1289	296
813	1290	294
814	1291	293
815	1293	291
816	1294	289
817	1295	288
818	1296	286
819	1297	284
820	1298	283
821	1300	281
822	1302	280
823	1307	279
824	1308	277
825	1310	276
826	1312	274
827	1313	272
828	1316	271
829	1317	269
830	1319	268
831	1320	266
832	1322	265
833	1323	263
834	1325	261
835	1326	260
836	1328	258
837	1330	257
838	1332	255
839	1333	254
840	1335	252
841	1336	250
842	1337	249
843	1339	247
844	1340	245
845	1341	244
846	1342	242
847	1345	241
848	1346	239
849	1348	237
850	1349	236
851	1350	234
852	1352	233
853	1353	231
854	1354	229
855	1355	228
856	1357	226
857	1360	225
858	1362	223
859	1364	222
860	1365	220
861	1366	218
862	1367	217
863	1369	215
864	1370	213
865	1371	212
866	1372	210
867	1374	209
868	1376	207
869	1377	205
870	1379	204
871	1380	202
872	1381	200
873	1383	199
874	1384	197
875	1385	196
876	1387	194
877	1389	193
878	1390	191
879	1392	189
880	1394	188
881	1396	186
882	1397	185
883	1399	183
884	1400	182
885	1402	180
886	1404	178
887	1405	177
888	1407	175
889	1408	174
890	1410	172
891	1411	170
892	1413	169
893	1415	167
894	1416	166
895	1418	164
896	1420	163
897	1423	161
898	1424	160
899	1426	158
900	1427	156
901	1428	155
902	1429	153
903	1430	151
904	1432	150
905	1434	148
906	1435	147
907	1436	145
908	1437	143
909	1438	142
910	1439	140
911	1440	138
912	1441	137
913	1442	135
914	1443	134
915	1444	132
916	1445	130
917	1446	129
918	1448	127
919	1449	126
920	1450	124
921	1451	122
922	1452	121
923	1452	119
924	1453	117
925	1454	116
926	1455	114
927	1456	113
928	1457	111
929	1458	109
930	1458	108
931	1459	106
932	1460	104
933	1463	103
934	1464	101
935	1465	100
936	1466	98
937	1467	96
938	1468	95
939	1468	93
940	1469	92
941	1470	90
942	1471	88
943	1472	87
944	1473	85
945	1474	84
946	1475	82
947	1475	80
948	1478	79
949	1480	77
950	1482	76
951	1484	74
952	1486	73
953	1487	71
954	1488	70
955	1490	68
956	1491	67
957	1492	65
958	1493	63
959	1494	62
960	1496	60
961	1497	59
962	1498	57
963	1499	55
964	1500	54
965	1500	52
966	1501	51
967	1502	49
968	1503	48
969	1505	46
970	1506	45
971	1507	43
972	1508	41
973	1509	40
974	1510	38
975	1511	37
976	1512	35
977	1513	34
978	1514	32
979	1515	30
980	1515	29
981	1516	27
982	1517	26
983	1518	24
984	1519	23
985	1521	21
986	1522	20
987	1523	18
988	1523	16
989	1524	15
990	1525	13
991	1526	12
992	1527	10
993	1527	9
994	1528	7
995	1529	6
996	1530	4
997	1531	3
998	1532	1
999	1532	0
